year,start_date,end_date,jurisdiction,location,age_group,metric,detection_method,fines,arrests,charges,month,month_name,is_all_locations,is_unknown_location,is_all_ages,is_unknown_age,metric_label,pre_2023,total_actions
2024,2024-01-01,2024-01-31,NSW,Major Cities,40-64,non_wearing_seatbelts,police,151,0,2,1,Jan,False,False,False,False,Seatbelt,False,153
2024,2024-01-01,2024-01-31,NSW,Major Cities,40-64,speed_fines,police,1888,0,10,1,Jan,False,False,False,False,Speed,False,1898
2024,2024-01-01,2024-01-31,NSW,Major Cities,40-64,unlicensed_driving,,109,0,431,1,Jan,False,False,False,False,Unlicensed Driving,False,540
2024,2024-01-01,2024-01-31,NSW,Major Cities,65 and over,mobile_phone_use,police,31,0,0,1,Jan,False,False,False,False,Mobile Phone,False,31
2024,2024-01-01,2024-01-31,NSW,Major Cities,65 and over,non_wearing_seatbelts,police,24,0,0,1,Jan,False,False,False,False,Seatbelt,False,24
2024,2024-01-01,2024-01-31,NSW,Major Cities,65 and over,speed_fines,police,285,0,0,1,Jan,False,False,False,False,Speed,False,285
2024,2024-01-01,2024-01-31,NSW,Major Cities,65 and over,unlicensed_driving,,9,0,29,1,Jan,False,False,False,False,Unlicensed Driving,False,38
2024,2024-01-01,2024-01-31,NSW,Outer Regional,0-16,non_wearing_seatbelts,police,1,0,1,1,Jan,False,False,False,False,Seatbelt,False,2
2024,2024-01-01,2024-01-31,NSW,Outer Regional,0-16,speed_fines,police,2,0,0,1,Jan,False,False,False,False,Speed,False,2
2024,2024-01-01,2024-01-31,NSW,Outer Regional,0-16,unlicensed_driving,,0,0,2,1,Jan,False,False,False,False,Unlicensed Driving,False,2
2024,2024-01-01,2024-01-31,NSW,Outer Regional,17-25,mobile_phone_use,police,6,0,0,1,Jan,False,False,False,False,Mobile Phone,False,6
2024,2024-01-01,2024-01-31,NSW,Outer Regional,17-25,non_wearing_seatbelts,police,17,0,0,1,Jan,False,False,False,False,Seatbelt,False,17
2024,2024-01-01,2024-01-31,NSW,Outer Regional,17-25,speed_fines,police,347,0,1,1,Jan,False,False,False,False,Speed,False,348
2024,2024-01-01,2024-01-31,NSW,Outer Regional,17-25,unlicensed_driving,,14,0,47,1,Jan,False,False,False,False,Unlicensed Driving,False,61
2024,2024-01-01,2024-01-31,NSW,Outer Regional,26-39,mobile_phone_use,police,11,0,0,1,Jan,False,False,False,False,Mobile Phone,False,11
